record_id,timestamp,building_id,building_type,building_area_m2,occupancy_level,temperature_c,humidity_percent,weather_condition,energy_source,energy_consumed_kwh,energy_generated_kwh,energy_cost_naira,optimization_score_percent
16,2025-01-27 14:00:00,B-2548,Industrial,175.82,Low,19.8,31.9,Cloudy,Mixed,97.28,31.44,5870.15,96.3
17,2025-01-19 08:00:00,B-5107,Educational,1284.0,Low,25.0,75.3,Sunny,Mixed,38.18,7.7,1969.71,66.45
18,2025-04-22 21:00:00,B-9843,Industrial,4652.0,High,31.7,68.0,Cloudy,Solar,131.36,80.37,6234.71,95.7
19,2025-02-20 05:00:00,B-7771,Residential,2719.74,Medium,31.7,83.8,Windy,Grid,51.11,0.0,2269.39,69.12
20,2025-05-22 06:00:00,B-7931,Commercial,2164.18,Low,31.9,81.6,Windy,Mixed,6.01,51.07,340.75,68.88
21,2025-02-07 01:00:00,B-6633,Industrial,643.33,Low,23.7,86.6,Windy,Solar,51.86,51.88,3532.74,74.55
22,2025-04-09 21:00:00,B-8930,Commercial,4860.32,High,34.4,45.1,Cloudy,Generator,77.1,0.0,4011.91,71.39
23,2025-03-05 13:00:00,B-1236,Residential,232.59,Low,28.4,60.2,Cloudy,Grid,12.46,0.0,637.28,96.33
24,2025-05-19 19:00:00,B-6778,Commercial,1235.83,High,20.5,59.4,Windy,Grid,147.92,0.0,7348.99,86.89
25,2025-01-03 01:00:00,B-2751,Educational,3820.02,Medium,22.0,73.7,Windy,Mixed,58.33,63.23,3811.35,81.43
26,2025-06-09 10:00:00,B-2335,Commercial,496.93,Medium,32.2,49.2,Windy,Grid,32.05,0.0,1334.27,83.64
27,2025-05-06 23:00:00,B-4773,Educational,3403.94,Medium,18.3,60.7,Rainy,Grid,37.84,0.0,2490.13,66.97
28,2025-05-21 11:00:00,B-6360,Commercial,3470.14,Low,24.6,86.2,Cloudy,Grid,24.94,0.0,1337.85,64.54
29,2025-01-26 08:00:00,B-4238,Industrial,4627.23,High,32.9,45.5,Windy,Generator,100.7,0.0,7319.77,82.21
30,2025-01-06 10:00:00,B-7168,Commercial,2671.77,High,22.1,35.6,Rainy,Solar,135.1,90.04,8825.28,73.56
31,2025-03-05 03:00:00,B-5997,Residential,1778.59,Low,30.3,83.8,Windy,Solar,133.63,77.99,8776.99,63.37
32,2025-05-17 05:00:00,B-3441,Educational,850.06,Low,33.3,66.4,Cloudy,Mixed,6.33,10.15,421.2,60.2
33,2025-02-22 08:00:00,B-3234,Industrial,846.0,Low,27.3,71.5,Rainy,Generator,99.53,0.0,4874.06,88.49
34,2025-05-14 20:00:00,B-3656,Commercial,1224.38,Low,23.5,74.8,Rainy,Grid,99.2,0.0,7337.72,86.3
35,2025-04-06 21:00:00,B-1341,Commercial,2863.13,Medium,19.6,52.1,Rainy,Solar,43.45,24.4,3429.09,75.72
36,2025-01-13 08:00:00,B-9883,Educational,4465.63,Medium,28.7,77.7,Rainy,Grid,77.88,0.0,4912.37,79.7
37,2025-03-19 01:00:00,B-3847,Educational,1016.45,Medium,30.3,46.8,Cloudy,Generator,8.53,0.0,561.44,67.08
38,2025-01-14 12:00:00,B-2408,Educational,4705.27,Medium,34.2,84.9,Sunny,Mixed,58.67,1.55,4525.38,77.13
39,2025-05-07 00:00:00,B-6888,Educational,4834.94,High,34.4,81.2,Rainy,Mixed,47.7,38.51,3531.97,72.68
40,2025-02-11 16:00:00,B-3448,Educational,888.99,Medium,27.5,86.2,Cloudy,Generator,105.92,0.0,6652.04,63.89
41,2025-05-23 17:00:00,B-1642,Industrial,3094.29,High,34.8,38.4,Cloudy,Solar,80.16,87.74,5581.6,87.88
42,2025-05-03 05:00:00,B-7711,Educational,3527.3,Medium,24.1,47.6,Sunny,Mixed,122.36,81.01,9138.2,96.53
43,2025-05-18 01:00:00,B-5523,Residential,2581.14,High,26.5,77.9,Rainy,Grid,99.24,0.0,6756.13,91.83
44,2025-01-14 08:00:00,B-3313,Industrial,4455.53,High,23.7,52.5,Windy,Generator,18.63,0.0,1176.13,61.44
45,2025-06-21 01:00:00,B-9687,Commercial,2354.71,Medium,27.2,47.2,Windy,Mixed,90.67,3.05,3762.25,92.9
46,2025-01-26 20:00:00,B-9131,Industrial,1832.94,Medium,20.2,61.3,Windy,Generator,116.65,0.0,5673.02,84.92
47,2025-04-08 22:00:00,B-9898,Commercial,472.47,Low,18.9,61.9,Rainy,Mixed,83.39,63.74,5757.55,99.03
48,2025-02-09 20:00:00,B-2293,Industrial,2605.69,Low,23.5,77.7,Sunny,Generator,44.27,0.0,2548.13,63.14
49,2025-05-15 01:00:00,B-6212,Residential,175.49,Medium,34.4,80.2,Windy,Mixed,105.92,40.9,4971.01,66.26
50,2025-03-29 06:00:00,B-2886,Educational,1288.7,Low,27.3,72.9,Sunny,Solar,100.73,27.99,7876.54,89.52
51,2025-06-21 22:00:00,B-4169,Commercial,2794.05,High,28.4,55.2,Rainy,Grid,40.92,0.0,2219.46,90.31
52,2025-06-22 04:00:00,B-4781,Commercial,121.25,High,20.0,32.8,Rainy,Solar,10.91,85.55,743.48,78.97
53,2025-02-20 21:00:00,B-1985,Commercial,534.28,Medium,26.4,58.4,Rainy,Mixed,30.11,43.39,1684.36,84.63
54,2025-06-10 19:00:00,B-6889,Residential,3193.71,Medium,18.8,52.5,Sunny,Generator,95.75,0.0,5757.01,94.26
55,2025-05-07 08:00:00,B-8559,Educational,3310.53,High,20.8,34.2,Cloudy,Grid,98.15,0.0,4030.08,83.43
56,2025-06-22 09:00:00,B-2487,Industrial,4704.14,Low,27.8,53.3,Rainy,Grid,98.28,0.0,5732.68,81.82
57,2025-06-24 05:00:00,B-1331,Commercial,4710.25,Low,24.6,87.7,Cloudy,Solar,136.28,19.58,5829.3,64.03
58,2025-01-07 23:00:00,B-9989,Educational,140.2,High,19.6,71.0,Cloudy,Generator,15.32,0.0,808.27,93.8
59,2025-06-09 08:00:00,B-3270,Industrial,165.2,Medium,31.8,46.9,Windy,Mixed,22.13,69.67,1441.94,95.1
60,2025-04-25 23:00:00,B-1347,Industrial,3688.6,High,31.7,46.9,Windy,Solar,30.73,75.06,2220.96,99.62
61,2025-02-11 07:00:00,B-4904,Educational,2092.46,High,24.3,76.6,Sunny,Mixed,54.42,93.08,4045.39,77.16
62,2025-01-12 05:00:00,B-4601,Commercial,3766.81,Low,30.8,36.2,Cloudy,Mixed,135.87,50.53,9926.43,72.8
63,2025-05-26 20:00:00,B-6088,Residential,4482.84,Low,24.6,30.7,Cloudy,Mixed,136.28,9.13,7191.84,98.0
64,2025-02-18 07:00:00,B-4390,Commercial,4755.51,High,27.7,67.9,Sunny,Generator,70.02,0.0,3622.02,73.15
65,2025-04-23 12:00:00,B-1613,Educational,3378.97,High,30.8,77.5,Rainy,Grid,119.49,0.0,5215.53,79.78
66,2025-02-08 06:00:00,B-6334,Commercial,334.92,High,27.3,56.5,Cloudy,Mixed,133.72,35.09,5974.97,65.72
67,2025-06-07 08:00:00,B-3732,Commercial,3819.48,Low,28.5,36.1,Cloudy,Solar,17.2,70.1,738.06,92.87
68,2025-01-29 08:00:00,B-3396,Residential,3545.9,Low,19.4,35.1,Rainy,Generator,148.06,0.0,8138.98,74.83
69,2025-01-15 16:00:00,B-2675,Educational,4073.36,High,34.1,89.2,Sunny,Generator,114.24,0.0,6288.96,63.34
70,2025-05-21 08:00:00,B-2334,Residential,3896.88,Medium,27.5,55.5,Cloudy,Mixed,136.42,11.12,8144.96,60.45
71,2025-01-27 12:00:00,B-6362,Residential,2369.87,Low,19.0,37.1,Cloudy,Solar,22.04,64.92,1539.31,83.33
72,2025-02-23 16:00:00,B-9361,Industrial,4812.75,Low,24.4,47.1,Sunny,Solar,130.95,22.36,10283.36,60.49
73,2025-02-06 16:00:00,B-8423,Residential,4850.9,Low,18.7,83.5,Cloudy,Mixed,81.52,99.3,3501.44,82.15
74,2025-03-18 20:00:00,B-7353,Industrial,4848.05,High,26.9,67.8,Sunny,Mixed,105.88,45.45,6893.03,83.37
75,2025-02-15 11:00:00,B-3112,Educational,4510.73,Low,18.8,46.9,Windy,Solar,142.81,89.03,8315.29,84.81
76,2025-02-16 10:00:00,B-1750,Industrial,1423.04,Medium,21.2,57.8,Rainy,Grid,56.24,0.0,3562.59,63.11
77,2025-05-19 00:00:00,B-4048,Commercial,4873.25,High,34.8,71.9,Rainy,Solar,82.73,30.95,6002.21,87.39
78,2025-06-05 19:00:00,B-9566,Educational,854.95,Medium,33.5,79.4,Windy,Solar,142.72,72.57,9210.66,76.73
79,2025-02-27 15:00:00,B-9565,Commercial,4667.01,Low,32.7,32.7,Rainy,Solar,8.82,37.65,638.76,99.49
80,2025-05-25 23:00:00,B-3213,Industrial,794.56,Low,28.1,52.9,Cloudy,Mixed,145.64,84.21,10709.37,78.75
81,2025-06-13 00:00:00,B-1049,Residential,2103.36,Low,22.6,33.4,Sunny,Solar,130.38,81.29,10428.93,99.87
82,2025-03-05 11:00:00,B-9225,Commercial,2799.39,High,31.1,86.7,Cloudy,Grid,128.2,0.0,6396.4,78.02
83,2025-06-12 21:00:00,B-9204,Educational,689.34,Medium,34.2,66.4,Cloudy,Grid,38.15,0.0,2551.02,84.73
84,2025-04-10 15:00:00,B-8900,Residential,1822.91,High,19.9,70.3,Cloudy,Grid,80.44,0.0,5702.61,80.81
85,2025-01-25 19:00:00,B-9797,Residential,4268.3,Medium,27.4,63.7,Cloudy,Solar,132.11,40.35,5992.59,61.15
86,2025-05-16 15:00:00,B-7200,Commercial,3787.93,High,28.5,72.2,Sunny,Mixed,35.88,13.64,1456.07,74.02
87,2025-05-03 05:00:00,B-5714,Residential,2970.09,Medium,24.7,56.2,Sunny,Solar,136.1,34.83,8242.16,91.35
88,2025-01-31 22:00:00,B-6304,Industrial,2012.89,Medium,28.6,81.7,Sunny,Generator,142.68,0.0,6546.58,97.06
89,2025-06-19 23:00:00,B-6811,Commercial,2485.98,Low,22.4,57.5,Rainy,Solar,147.1,49.26,7818.37,85.34
90,2025-03-11 00:00:00,B-5549,Industrial,1238.72,Low,19.3,37.7,Rainy,Grid,23.57,0.0,1086.01,65.55
91,2025-06-13 23:00:00,B-9566,Residential,3222.33,High,21.1,50.7,Cloudy,Generator,135.03,0.0,7961.16,86.7
92,2025-02-24 18:00:00,B-5920,Residential,902.98,High,21.3,32.5,Windy,Grid,29.5,0.0,1508.74,67.08
93,2025-06-13 19:00:00,B-4556,Commercial,489.08,Low,20.1,57.6,Windy,Mixed,34.92,36.43,2099.97,87.62
94,2025-01-31 20:00:00,B-8528,Educational,244.6,Low,31.6,67.7,Rainy,Generator,16.86,0.0,1263.54,96.83
95,2025-02-25 14:00:00,B-5166,Educational,352.34,Medium,22.7,78.4,Windy,Mixed,113.5,18.45,5490.45,74.82
96,2025-02-09 03:00:00,B-4385,Industrial,2448.39,High,28.5,52.1,Windy,Grid,72.07,0.0,5037.61,61.47
97,2025-04-06 14:00:00,B-8172,Educational,1299.56,Low,30.1,83.7,Rainy,Solar,79.19,53.21,3507.08,77.9
98,2025-06-29 15:00:00,B-2961,Educational,2686.46,Medium,22.1,46.2,Rainy,Solar,59.71,2.01,3157.65,68.46
99,2025-05-05 14:00:00,B-3772,Commercial,1671.11,Medium,20.0,83.4,Sunny,Grid,91.07,0.0,6116.63,91.57
100,2025-06-24 10:00:00,B-8904,Industrial,2517.29,Low,19.5,62.2,Rainy,Generator,90.09,0.0,6289.87,77.27
101,2025-01-08 18:00:00,B-3969,Educational,681.52,High,22.8,51.8,Windy,Grid,98.66,0.0,6198.92,74.24
102,2025-01-16 22:00:00,B-1066,Educational,4933.25,Medium,28.3,44.2,Sunny,Grid,19.76,0.0,911.22,69.84
103,2025-01-13 19:00:00,B-7346,Industrial,845.37,High,21.2,47.1,Sunny,Mixed,30.14,89.68,1302.33,80.98
104,2025-04-23 23:00:00,B-6529,Residential,2081.46,High,34.7,36.7,Cloudy,Grid,62.69,0.0,4938.64,94.62
105,2025-04-30 06:00:00,B-4276,Residential,4094.51,High,22.4,40.3,Cloudy,Grid,101.95,0.0,7868.0,82.27
106,2025-06-29 07:00:00,B-8423,Educational,2879.48,High,22.8,76.2,Sunny,Generator,32.12,0.0,1700.66,77.02
107,2025-01-23 09:00:00,B-9669,Commercial,2562.67,Low,22.1,36.9,Cloudy,Grid,93.54,0.0,4821.54,83.25
108,2025-01-17 22:00:00,B-1778,Educational,814.1,Medium,26.2,62.0,Rainy,Generator,12.51,0.0,668.84,65.38
109,2025-05-30 22:00:00,B-1123,Educational,363.71,Low,34.8,49.3,Windy,Solar,122.43,25.46,8234.66,90.41
110,2025-04-13 15:00:00,B-2065,Industrial,2998.41,High,26.0,54.7,Windy,Grid,55.59,0.0,4290.5,93.22
111,2025-06-07 16:00:00,B-3755,Industrial,4826.88,Low,20.1,73.9,Windy,Mixed,141.06,18.12,6017.6,89.64
112,2025-01-04 05:00:00,B-4124,Educational,2893.64,Medium,32.3,38.4,Rainy,Generator,120.31,0.0,5782.71,66.55
113,2025-01-08 09:00:00,B-5192,Industrial,863.12,Medium,31.8,69.9,Sunny,Solar,80.84,35.88,6070.12,75.7
114,2025-04-14 17:00:00,B-1880,Industrial,4092.17,Low,25.5,52.6,Cloudy,Grid,72.09,0.0,3752.65,89.9
115,2025-02-24 04:00:00,B-4720,Commercial,2538.47,High,21.9,84.0,Sunny,Generator,60.66,0.0,3745.28,96.26
116,2025-03-29 17:00:00,B-3631,Commercial,3139.98,Medium,20.0,86.4,Rainy,Grid,96.02,0.0,5127.11,65.57
117,2025-02-18 13:00:00,B-6156,Educational,3980.42,High,28.5,62.0,Windy,Grid,134.61,0.0,9630.52,66.07
118,2025-05-13 13:00:00,B-3182,Residential,1593.02,Low,22.2,74.6,Sunny,Grid,9.86,0.0,619.16,90.5
119,2025-02-24 18:00:00,B-4708,Commercial,4389.99,High,23.8,79.3,Rainy,Grid,21.04,0.0,1553.97,65.1
120,2025-06-28 17:00:00,B-9289,Industrial,2016.57,Low,31.6,39.0,Rainy,Grid,38.24,0.0,2634.36,88.8
121,2025-02-26 07:00:00,B-5878,Educational,3223.68,Medium,29.8,62.6,Rainy,Solar,41.51,34.57,1961.92,96.34
122,2025-02-06 10:00:00,B-4322,Educational,2937.79,High,24.8,57.7,Rainy,Grid,142.36,0.0,6567.64,83.45
123,2025-03-29 13:00:00,B-4024,Commercial,2554.15,Low,28.4,31.1,Rainy,Grid,131.46,0.0,10159.85,82.61
124,2025-01-20 07:00:00,B-5466,Industrial,3498.42,High,33.7,72.4,Sunny,Grid,27.12,0.0,1709.96,84.27
125,2025-02-05 05:00:00,B-7124,Residential,2149.45,Medium,30.5,86.1,Sunny,Solar,139.21,45.08,6198.95,99.39
126,2025-03-20 21:00:00,B-5480,Commercial,4202.55,Medium,20.1,85.3,Sunny,Solar,131.13,51.88,8346.56,75.96
127,2025-03-29 15:00:00,B-7733,Commercial,321.07,Low,23.7,78.2,Rainy,Solar,5.67,33.35,317.1,81.5
128,2025-03-30 18:00:00,B-5346,Industrial,4603.29,Low,23.9,50.8,Windy,Grid,111.94,0.0,6502.45,68.98
129,2025-06-30 00:00:00,B-1417,Educational,2289.58,Medium,20.4,40.6,Rainy,Grid,77.26,0.0,4385.05,96.59
130,2025-01-22 11:00:00,B-6553,Commercial,1843.85,High,27.9,67.9,Sunny,Generator,6.9,0.0,459.14,67.12
131,2025-04-30 22:00:00,B-1311,Residential,4807.3,High,20.5,54.9,Windy,Solar,17.38,99.69,1044.33,83.82
132,2025-01-05 15:00:00,B-1498,Commercial,382.03,Medium,30.7,42.6,Windy,Grid,135.22,0.0,6518.36,67.63
133,2025-03-13 06:00:00,B-6377,Commercial,230.92,Medium,26.0,63.9,Windy,Generator,14.53,0.0,1031.94,78.13
134,2025-03-11 03:00:00,B-5154,Commercial,2645.73,Medium,25.5,54.0,Sunny,Mixed,86.15,15.52,4072.92,94.47
135,2025-04-07 00:00:00,B-9964,Residential,4733.27,Medium,24.3,46.2,Sunny,Generator,98.38,0.0,5543.65,61.02
136,2025-06-05 11:00:00,B-4172,Residential,822.96,Medium,30.2,69.5,Cloudy,Solar,8.93,22.2,439.74,86.88
137,2025-05-23 20:00:00,B-3176,Educational,147.57,High,19.8,78.0,Cloudy,Mixed,30.89,65.27,1529.9,63.98
138,2025-01-24 00:00:00,B-9723,Residential,1253.7,Medium,30.3,81.3,Sunny,Mixed,125.38,39.72,8365.78,68.2
139,2025-06-02 18:00:00,B-5865,Residential,1501.08,Medium,33.2,30.8,Rainy,Generator,17.4,0.0,840.69,61.06
140,2025-03-07 01:00:00,B-8509,Commercial,948.11,Medium,27.9,55.3,Rainy,Grid,134.44,0.0,9773.48,73.67
141,2025-01-17 07:00:00,B-4151,Residential,1334.15,Low,24.5,65.4,Rainy,Grid,43.87,0.0,2850.06,76.38
142,2025-05-07 05:00:00,B-2143,Educational,2782.63,Medium,25.4,47.7,Sunny,Solar,142.53,76.36,6500.01,94.74
143,2025-01-03 08:00:00,B-6713,Educational,2462.78,Medium,33.2,78.0,Windy,Solar,66.66,2.25,3382.8,81.67
144,2025-02-20 09:00:00,B-3266,Industrial,3185.72,Medium,22.4,38.4,Windy,Solar,126.06,98.44,7693.14,66.87
145,2025-03-19 16:00:00,B-9777,Commercial,1397.92,Low,18.3,84.9,Cloudy,Grid,22.07,0.0,1391.75,70.96
146,2025-06-02 21:00:00,B-3516,Industrial,2793.18,High,29.1,79.8,Sunny,Generator,34.93,0.0,1412.56,65.48
147,2025-04-10 18:00:00,B-1502,Residential,4505.09,Medium,32.9,65.8,Sunny,Solar,92.07,66.5,4328.66,96.58
148,2025-04-13 05:00:00,B-6628,Residential,2122.91,Low,24.5,61.1,Windy,Mixed,11.81,16.63,821.05,63.31
149,2025-06-01 19:00:00,B-8612,Residential,3035.6,Low,22.2,53.4,Windy,Grid,46.86,0.0,2541.07,88.76
150,2025-05-10 16:00:00,B-4708,Industrial,1520.75,Low,27.6,58.6,Rainy,Mixed,101.23,93.68,7015.53,68.6
151,2025-01-29 07:00:00,B-2873,Residential,204.36,Low,22.5,65.7,Windy,Generator,12.46,0.0,745.79,83.87
152,2025-04-02 11:00:00,B-2541,Industrial,1704.51,Low,31.1,36.4,Sunny,Generator,15.89,0.0,1098.44,79.82
153,2025-02-12 00:00:00,B-6310,Residential,3457.59,Medium,25.4,44.8,Sunny,Solar,123.77,79.94,8390.1,70.89
154,2025-03-04 23:00:00,B-1141,Educational,2971.64,Low,24.1,35.5,Windy,Solar,138.01,13.68,10766.09,77.84
155,2025-06-05 01:00:00,B-4904,Industrial,966.41,Low,27.2,82.4,Cloudy,Mixed,111.17,80.66,7376.28,87.69
156,2025-04-21 23:00:00,B-3570,Commercial,4253.52,High,22.2,59.4,Rainy,Solar,37.08,98.77,2883.43,61.58
157,2025-03-18 18:00:00,B-9789,Industrial,3542.6,High,33.7,40.8,Cloudy,Generator,87.35,0.0,6692.72,61.36
158,2025-02-13 09:00:00,B-1889,Commercial,3502.23,Low,23.1,85.5,Windy,Solar,145.8,94.43,8597.62,94.48
159,2025-02-18 12:00:00,B-7750,Educational,4230.52,High,23.4,79.7,Sunny,Generator,10.37,0.0,662.13,69.2
160,2025-04-27 17:00:00,B-3332,Educational,646.81,Medium,19.3,71.8,Windy,Solar,54.28,72.48,2313.1,72.61
161,2025-02-22 16:00:00,B-3058,Educational,2720.48,High,31.4,49.1,Sunny,Solar,95.75,88.6,6188.76,69.32
162,2025-06-21 00:00:00,B-7229,Residential,170.78,High,32.8,31.3,Sunny,Generator,131.83,0.0,8062.39,97.56
163,2025-03-21 06:00:00,B-4607,Commercial,4003.98,Medium,35.0,51.0,Sunny,Generator,116.24,0.0,6518.42,79.2
164,2025-01-08 10:00:00,B-1124,Industrial,3156.15,High,32.9,89.0,Cloudy,Mixed,116.4,41.78,6617.84,89.5
165,2025-02-06 18:00:00,B-8768,Educational,1231.95,Low,19.9,51.3,Windy,Generator,46.65,0.0,2418.91,69.34
166,2025-03-06 10:00:00,B-4562,Residential,258.36,Low,18.3,89.3,Sunny,Generator,67.03,0.0,3711.66,87.19
167,2025-03-24 08:00:00,B-6308,Industrial,1130.36,Medium,34.1,77.2,Rainy,Solar,17.96,41.76,1349.96,97.79
168,2025-01-23 12:00:00,B-2820,Commercial,2363.64,High,28.4,40.0,Cloudy,Generator,148.72,0.0,7326.97,97.71
169,2025-02-03 06:00:00,B-8845,Educational,3265.75,Low,28.3,60.8,Sunny,Grid,38.45,0.0,1809.5,68.82
170,2025-06-06 10:00:00,B-8667,Educational,972.87,Medium,31.3,51.0,Sunny,Generator,13.39,0.0,1054.65,95.35
171,2025-04-30 02:00:00,B-3674,Educational,4642.37,High,34.9,40.4,Cloudy,Generator,62.46,0.0,4392.78,87.84
172,2025-01-23 08:00:00,B-5209,Educational,811.78,Low,31.9,43.5,Cloudy,Mixed,37.45,53.7,2386.22,83.2
173,2025-05-12 12:00:00,B-4688,Residential,502.86,Medium,32.9,45.9,Sunny,Solar,23.78,88.87,1860.22,94.49
174,2025-01-29 05:00:00,B-8160,Industrial,4057.1,Medium,29.1,63.1,Rainy,Solar,17.61,40.85,966.92,70.39
175,2025-05-06 20:00:00,B-9586,Industrial,3630.93,Low,26.4,34.9,Cloudy,Mixed,36.93,68.33,1589.66,94.05
176,2025-04-21 15:00:00,B-6168,Commercial,2500.98,High,26.2,65.5,Rainy,Mixed,124.58,34.78,8361.89,82.63
177,2025-03-08 01:00:00,B-7633,Educational,1371.79,Low,32.9,77.8,Cloudy,Mixed,100.48,85.06,7505.03,88.33
178,2025-05-29 19:00:00,B-2456,Commercial,4193.22,High,29.9,70.8,Rainy,Mixed,94.7,75.27,4388.8,95.23
179,2025-03-22 17:00:00,B-2916,Residential,4365.63,Medium,18.5,79.5,Cloudy,Generator,23.69,0.0,1265.16,89.74
180,2025-06-08 07:00:00,B-2466,Industrial,845.76,Medium,31.9,79.9,Windy,Generator,78.58,0.0,3163.27,71.48
181,2025-01-14 12:00:00,B-9371,Residential,3103.79,Low,34.7,67.9,Cloudy,Generator,42.67,0.0,2788.92,81.6
182,2025-06-15 21:00:00,B-1951,Educational,3910.23,Low,19.8,75.7,Sunny,Mixed,83.48,96.3,4480.78,85.3
183,2025-05-12 23:00:00,B-6109,Educational,4663.54,Low,19.7,86.2,Rainy,Grid,104.74,0.0,4473.81,72.04
184,2025-03-18 14:00:00,B-3301,Commercial,3555.45,Low,19.1,64.9,Sunny,Generator,55.15,0.0,3575.74,61.83
185,2025-01-22 08:00:00,B-3325,Commercial,4364.11,Medium,34.5,88.1,Rainy,Solar,113.7,13.01,7996.58,60.98
186,2025-03-24 06:00:00,B-2441,Educational,159.51,Low,23.5,59.3,Sunny,Mixed,116.71,68.33,6750.05,70.95
187,2025-03-17 22:00:00,B-6440,Commercial,4985.77,Medium,25.2,57.1,Sunny,Solar,28.73,79.48,1946.38,68.83
188,2025-05-16 11:00:00,B-6076,Industrial,457.79,Medium,29.6,69.3,Rainy,Solar,44.62,95.09,2054.41,77.29
189,2025-03-12 21:00:00,B-1803,Industrial,4720.9,Medium,25.1,68.3,Sunny,Mixed,62.65,27.42,4971.85,76.37
190,2025-05-28 10:00:00,B-3163,Educational,4475.79,Medium,21.9,42.8,Rainy,Grid,9.51,0.0,628.29,74.74
191,2025-02-25 11:00:00,B-5861,Industrial,4328.57,Low,26.0,88.1,Sunny,Generator,31.9,0.0,2384.36,91.06
192,2025-04-10 06:00:00,B-8445,Industrial,3866.06,High,32.4,75.7,Rainy,Grid,95.8,0.0,4334.93,61.3
193,2025-05-13 21:00:00,B-3406,Commercial,4608.2,Low,28.5,77.8,Cloudy,Grid,74.82,0.0,3343.88,65.01
194,2025-05-24 00:00:00,B-3623,Commercial,3443.55,Low,25.3,42.0,Windy,Mixed,76.28,6.42,4826.91,70.76
195,2025-01-15 18:00:00,B-9848,Residential,3997.92,Medium,23.3,57.3,Windy,Grid,6.68,0.0,286.56,75.7
196,2025-05-18 09:00:00,B-4448,Educational,2425.7,Medium,28.2,47.5,Sunny,Mixed,105.77,86.01,7530.19,61.58
197,2025-03-12 08:00:00,B-4668,Industrial,2428.51,High,19.8,44.5,Cloudy,Grid,148.07,0.0,6766.77,79.96
198,2025-05-08 01:00:00,B-5539,Commercial,3109.87,Medium,29.9,63.6,Sunny,Solar,6.42,32.65,389.75,63.51
199,2025-02-03 10:00:00,B-5959,Residential,1785.6,Medium,18.6,34.7,Cloudy,Generator,62.55,0.0,2834.05,82.7
200,2025-04-24 05:00:00,B-3839,Industrial,3462.85,High,31.6,42.0,Cloudy,Solar,29.28,10.46,1916.59,88.26
201,2025-06-27 12:00:00,B-4170,Industrial,206.35,High,33.9,33.1,Windy,Mixed,83.49,70.91,6248.29,88.56
202,2025-01-08 09:00:00,B-4389,Educational,4018.55,Medium,23.8,78.9,Cloudy,Mixed,16.62,89.48,1028.84,92.69
203,2025-04-03 04:00:00,B-5330,Industrial,2288.98,Medium,28.9,61.6,Rainy,Grid,111.08,0.0,4805.9,62.41
204,2025-02-10 23:00:00,B-8171,Residential,1273.16,Medium,20.7,82.3,Cloudy,Mixed,36.79,97.59,1967.38,67.28
205,2025-06-26 18:00:00,B-2529,Residential,3959.01,Medium,29.2,59.9,Windy,Grid,85.53,0.0,5881.73,69.14
206,2025-05-14 19:00:00,B-6908,Industrial,4981.85,Medium,34.6,69.0,Windy,Grid,33.93,0.0,2280.41,62.89
207,2025-04-18 14:00:00,B-8093,Commercial,201.73,Medium,22.4,57.8,Sunny,Solar,130.9,72.72,9124.81,77.02
